"id_unidade";"unidade";"natureza_despesa";"valor";
"7715";"2013 - IMPACTOS SOCIO-ECONÔMICOS E AMBIENTAIS DE BARRAGENS SUBTERRÂNEAS NA MICROBACIA DO RIO COBRA, PARELHAS/RN";"MAT. CONSUMO";"R$            59,73";
"7705";"2013 - JARDIM SENSORIAL: A NATUREZA AO ALCANCE DE TODOS.";"CUSTEIO";"R$         3.000,00";
"7705";"2013 - JARDIM SENSORIAL: A NATUREZA AO ALCANCE DE TODOS.";"MAT. CONSUMO";"R$           429,00";
"7705";"2013 - JARDIM SENSORIAL: A NATUREZA AO ALCANCE DE TODOS.";"SERV. PESSOA JURÍDICA";"R$         2.551,00";
"7682";"2013 - O ESPORTE COMO FERRAMENTA NACIONAL E INTERNACIONAL DE DIVULGAÇÃO, CIENTÍFICA E TURÍSTICA, DO INTERIOR DO ESTADO DO RIO GRANDE DO NORTE.";"CUSTEIO";"R$         2.000,00";
"7996";"2013 - PRODIAVC  PROGRAMA DE DIAGNÓSTICO E INTERVENÇÃO NO ACIDENTE VASCULAR CEREBRAL";"CUSTEIO";"R$         1.447,40";
"7996";"2013 - PRODIAVC  PROGRAMA DE DIAGNÓSTICO E INTERVENÇÃO NO ACIDENTE VASCULAR CEREBRAL";"MAT. CONSUMO";"R$           468,60";
"7996";"2013 - PRODIAVC  PROGRAMA DE DIAGNÓSTICO E INTERVENÇÃO NO ACIDENTE VASCULAR CEREBRAL";"SERV. PESSOA JURÍDICA";"R$            84,00";
"7676";"2013 - PROJETO ENVELHECER COM SAÚDE: RASTREAMENTO COGNITIVO EM IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA, NATAL/RN.";"CUSTEIO";"R$         3.000,00";
"7676";"2013 - PROJETO ENVELHECER COM SAÚDE: RASTREAMENTO COGNITIVO EM IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA, NATAL/RN.";"MAT. CONSUMO";"R$         2.010,58";
"7676";"2013 - PROJETO ENVELHECER COM SAÚDE: RASTREAMENTO COGNITIVO EM IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA, NATAL/RN.";"SERV. PESSOA JURÍDICA";"R$           763,46";
"7681";"2013 - SAÚDE E CIDADANIA: INTERFACES ENTRE ENSINO, PESQUISA E EXTENSÃO";"CUSTEIO";"R$         2.000,00";
"7681";"2013 - SAÚDE E CIDADANIA: INTERFACES ENTRE ENSINO, PESQUISA E EXTENSÃO";"DIÁRIAS";"R$           395,90";
"7681";"2013 - SAÚDE E CIDADANIA: INTERFACES ENTRE ENSINO, PESQUISA E EXTENSÃO";"MAT. CONSUMO";"R$           390,67";
"7681";"2013 - SAÚDE E CIDADANIA: INTERFACES ENTRE ENSINO, PESQUISA E EXTENSÃO";"SERV. PESSOA JURÍDICA";"R$         1.138,10";
"10795";"2017 - PROJETO CORES";"CUSTEIO";"R$         4.000,00";
"7633";"23314/2013 - A PROPAGAÇÃO DA CULTURA DO VIOLONCELO NO RIO GRANDE DO NORTE - FASE II";"CUSTEIO";"R$         3.000,00";
"7633";"23314/2013 - A PROPAGAÇÃO DA CULTURA DO VIOLONCELO NO RIO GRANDE DO NORTE - FASE II";"PASSAGENS";"R$             0,00";
"7633";"23314/2013 - A PROPAGAÇÃO DA CULTURA DO VIOLONCELO NO RIO GRANDE DO NORTE - FASE II";"SERV. PESSOA JURÍDICA";"R$           489,00";
"7632";"2809/2013 - MAESTRO - UM METRÔNOMO REPENSADO";"CUSTEIO";"R$         3.000,00";
"7632";"2809/2013 - MAESTRO - UM METRÔNOMO REPENSADO";"EQUIP. MATERIAL PERMANENTE";"R$           232,90";
"7632";"2809/2013 - MAESTRO - UM METRÔNOMO REPENSADO";"PASSAGENS";"R$             0,00";
"7632";"2809/2013 - MAESTRO - UM METRÔNOMO REPENSADO";"SERV. PESSOA FÍSICA";"R$             0,00";
"8478";"2ª JORNADA NACIONAL DE ALFABETIZAÇÃO E 10ª JORNADA DE ALFABETIZAÇÃO: ALFABETIZANDO COM CIÊNCIA E ARTE";"CUSTEIO";"R$         7.000,00";
"8478";"2ª JORNADA NACIONAL DE ALFABETIZAÇÃO E 10ª JORNADA DE ALFABETIZAÇÃO: ALFABETIZANDO COM CIÊNCIA E ARTE";"PASSAGENS";"R$         3.265,57";
"8478";"2ª JORNADA NACIONAL DE ALFABETIZAÇÃO E 10ª JORNADA DE ALFABETIZAÇÃO: ALFABETIZANDO COM CIÊNCIA E ARTE";"SERV. PESSOA FÍSICA";"R$             0,00";
"8478";"2ª JORNADA NACIONAL DE ALFABETIZAÇÃO E 10ª JORNADA DE ALFABETIZAÇÃO: ALFABETIZANDO COM CIÊNCIA E ARTE";"SERV. PESSOA JURÍDICA";"R$           648,00";
"7807";"2° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"CUSTEIO";"R$       176.400,63";
"7807";"2° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"OBRIGAÇÕES PATRONAIS";"R$             0,00";
"7807";"2° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"SERV. PESSOA FÍSICA";"R$        60.940,00";
"7807";"2° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"SERV. PESSOA JURÍDICA";"R$         8.250,00";
"9717";"2º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS. ";"CUSTEIO";"R$         3.433,33";
"9717";"2º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS. ";"DIÁRIAS";"R$           237,10";
"9717";"2º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS. ";"MAT. CONSUMO";"R$           539,42";
"9717";"2º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS. ";"SERV. PESSOA FÍSICA";"R$         1.239,00";
"7631";"31293/2013 - LABORATÓRIO DE PALHETAS DA UFRN";"CUSTEIO";"R$         6.028,50";
"9128";"3° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"CUSTEIO";"R$       357.260,76";
"9128";"3° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"OBRIGAÇÕES PATRONAIS";"R$         8.108,00";
"9128";"3° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"SERV. PESSOA FÍSICA";"R$       218.210,00";
"10305";"3º ENCONTRO ENTRE OS ALUNOS E DOCENTES DOS CURSOS DAS CIÊNCIAS AGRÁRIAS E PRODUTORES DA AGRICULTURA FAMILIAR: FORMAÇÃO ACADÊMICA, ESPECIFICIDADES E PERSPECTIVAS";"CUSTEIO";"R$         4.000,00";
"10305";"3º ENCONTRO ENTRE OS ALUNOS E DOCENTES DOS CURSOS DAS CIÊNCIAS AGRÁRIAS E PRODUTORES DA AGRICULTURA FAMILIAR: FORMAÇÃO ACADÊMICA, ESPECIFICIDADES E PERSPECTIVAS";"DIÁRIAS";"R$         1.712,76";
"10305";"3º ENCONTRO ENTRE OS ALUNOS E DOCENTES DOS CURSOS DAS CIÊNCIAS AGRÁRIAS E PRODUTORES DA AGRICULTURA FAMILIAR: FORMAÇÃO ACADÊMICA, ESPECIFICIDADES E PERSPECTIVAS";"MAT. CONSUMO";"R$           699,33";
"10305";"3º ENCONTRO ENTRE OS ALUNOS E DOCENTES DOS CURSOS DAS CIÊNCIAS AGRÁRIAS E PRODUTORES DA AGRICULTURA FAMILIAR: FORMAÇÃO ACADÊMICA, ESPECIFICIDADES E PERSPECTIVAS";"SERV. PESSOA FÍSICA";"R$         1.504,50";
"9707";"3º WORKSHOP DE JOGOS DIGITAIS DO RN. ";"CUSTEIO";"R$         3.000,00";
"9707";"3º WORKSHOP DE JOGOS DIGITAIS DO RN. ";"PASSAGENS";"R$             0,00";
"9707";"3º WORKSHOP DE JOGOS DIGITAIS DO RN. ";"SERV. PESSOA FÍSICA";"R$             0,00";
"9707";"3º WORKSHOP DE JOGOS DIGITAIS DO RN. ";"SERV. PESSOA JURÍDICA";"R$           441,50";
"10654";"49º INTERNATIONAL HORN SYMPOSIUM - IHS";"CUSTEIO";"R$         3.574,03";
"10654";"49º INTERNATIONAL HORN SYMPOSIUM - IHS";"PASSAGENS";"R$         3.002,55";
"10654";"49º INTERNATIONAL HORN SYMPOSIUM - IHS";"SERV. PESSOA JURÍDICA";"R$           571,48";
"8972";"4° PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN (EV412-2014)";"CUSTEIO";"R$         4.500,00";
"8972";"4° PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN (EV412-2014)";"SERV. PESSOA JURÍDICA";"R$         1.775,30";
"9943";"5º PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN";"CUSTEIO";"R$         5.000,00";
"9943";"5º PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN";"PASSAGENS";"R$         3.131,88";
"9943";"5º PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN";"SERV. PESSOA JURÍDICA";"R$           896,00";
"8942";"60 ANOS DO DICIONÁRIO DO FOLCLORE BRASILEIRO (EV359-2014)";"CUSTEIO";"R$         5.000,00";
"7634";"6163/2013 - CURSO DE MUSICOGRAFIA BRAILLE PARA PESSOAS COM DEFICIÊNCIA VISUAL";"CUSTEIO";"R$         3.000,00";
"7634";"6163/2013 - CURSO DE MUSICOGRAFIA BRAILLE PARA PESSOAS COM DEFICIÊNCIA VISUAL";"SERV. PESSOA JURÍDICA";"R$         2.957,26";
"7703";"6172/2013 - AVALIAÇÃO DA QUALIDADE DO LEITE EM PROPRIEDADES RURAIS PROVENIENTES DA AGRICULTURA FAMILIAR";"CUSTEIO";"R$         3.000,00";
"7703";"6172/2013 - AVALIAÇÃO DA QUALIDADE DO LEITE EM PROPRIEDADES RURAIS PROVENIENTES DA AGRICULTURA FAMILIAR";"MAT. CONSUMO";"R$         3.310,41";
"10064";"7º SEPE  SEMINÁRIO DE ENSINO, PESQUISA E EXTENSÃO DO CENTRO DE ENSINO SUPERIOR DO SERIDÓ  CERES/UFRN. "AS FRONTEIRAS DO CONHECIMENTO E A FORMAÇÃO DO SUJEITO CONTEMPORÂNEO";"CUSTEIO";"R$         8.552,86";
"10064";"7º SEPE  SEMINÁRIO DE ENSINO, PESQUISA E EXTENSÃO DO CENTRO DE ENSINO SUPERIOR DO SERIDÓ  CERES/UFRN. "AS FRONTEIRAS DO CONHECIMENTO E A FORMAÇÃO DO SUJEITO CONTEMPORÂNEO";"SERV. PESSOA JURÍDICA";"R$            79,60";
"4792";"8372 - UFERSA - SISTEMAS INFORMATIZADOS";"SERV. PESSOA FÍSICA";"R$         7.200,00";
"4792";"8372 - UFERSA - SISTEMAS INFORMATIZADOS";"SERV. PESSOA JURÍDICA";"R$     2.376.002,04";
"4780";"8374 - SETEC PORT. 313/08 - ESENF";"DIV.EXERCÍCIOS ANTERIORES";"R$       144.000,00";
"4780";"8374 - SETEC PORT. 313/08 - ESENF";"EQUIP. MATERIAL PERMANENTE";"R$        40.000,00";
"4780";"8374 - SETEC PORT. 313/08 - ESENF";"OBRAS E INSTALAÇÕES";"R$       176.000,00";
"4780";"8374 - SETEC PORT. 313/08 - ESENF";"SERV. PESSOA JURÍDICA";"R$        72.000,00";
"4789";"8377 - FNDE PROG. NACIONAL DO LIVRO DIDÁTICO/08";"SERV. PESSOA JURÍDICA";"R$     4.660.425,00";
"4797";"8378 - SESU INCLUIR";"DIV.EXERCÍCIOS ANTERIORES";"R$         4.351,20";
"4797";"8378 - SESU INCLUIR";"EQUIP. MATERIAL PERMANENTE";"R$         5.549,40";
"4797";"8378 - SESU INCLUIR";"MAT. CONSUMO";"R$        94.359,50";
"4797";"8378 - SESU INCLUIR";"OBRIGAÇÕES PATRONAIS";"R$         1.872,00";
"4797";"8378 - SESU INCLUIR";"SERV. PESSOA FÍSICA";"R$         9.360,00";
"4797";"8378 - SESU INCLUIR";"SERV. PESSOA JURÍDICA";"R$         4.500,00";
"4842";"8381 - SESU PORT. 788/08 - EDITAL Nº 08/2008.";"OBRAS E INSTALAÇÕES";"R$        97.887,00";
"4842";"8381 - SESU PORT. 788/08 - EDITAL Nº 08/2008.";"SERV. PESSOA JURÍDICA";"R$     2.302.953,70";
"4862";"8384 - FNS PORT. 604/08 - DST/AIDS";"SERV. PESSOA JURÍDICA";"R$        51.225,72";
"4877";"8400 - SETEC PORT. 556/08 - EAJ";"EQUIP. MATERIAL PERMANENTE";"R$     1.305.260,00";
"4882";"8402 - SESU TRILHAS POTIGUARES/08";"DIV.EXERCÍCIOS ANTERIORES";"R$        26.647,70";
"4882";"8402 - SESU TRILHAS POTIGUARES/08";"EQUIP. MATERIAL PERMANENTE";"R$        35.401,80";
"4882";"8402 - SESU TRILHAS POTIGUARES/08";"MAT. CONSUMO";"R$        84.724,70";
"4882";"8402 - SESU TRILHAS POTIGUARES/08";"OBRIGAÇÕES PATRONAIS";"R$           310,00";
"4882";"8402 - SESU TRILHAS POTIGUARES/08";"SERV. PESSOA FÍSICA";"R$         3.550,00";
"4882";"8402 - SESU TRILHAS POTIGUARES/08";"SERV. PESSOA JURÍDICA";"R$        27.360,10";
"10764";"A ACADEMIA NORTE-RIO-GRANDENSE DE LETRAS: MEMÓRIAS EM DISPUTAS";"CUSTEIO";"R$         1.907,78";
"10764";"A ACADEMIA NORTE-RIO-GRANDENSE DE LETRAS: MEMÓRIAS EM DISPUTAS";"MAT. CONSUMO";"R$           690,38";
"7414";"A BIBLIOTECA MÓVEL COMO MOMENTO SOCIAL DE HUMANIZAÇÃO NO DEPARTAMENTO DE ODONTOLOGIA DA UFRN  SEGUNDA FASE";"CUSTEIO";"R$         1.493,84";
"5568";"ABIN TC Nº 01/10 - SINFOR";"CUSTEIO";"R$       550.000,00";
"5568";"ABIN TC Nº 01/10 - SINFOR";"EQUIP. MATERIAL PERMANENTE";"R$       991.180,01";
"5568";"ABIN TC Nº 01/10 - SINFOR";"SERV. PESSOA JURÍDICA";"R$     3.750.000,00";
"10585";"ABORDAGEM DOS PRIMEIROS SOCORROS NA ESCOLA: CRIANÇAS, ADOLESCENTES E PROFESSORES APRENDENDO A SALVAR VIDAS";"CUSTEIO";"R$         3.000,00";
"10585";"ABORDAGEM DOS PRIMEIROS SOCORROS NA ESCOLA: CRIANÇAS, ADOLESCENTES E PROFESSORES APRENDENDO A SALVAR VIDAS";"MAT. CONSUMO";"R$         2.211,33";
"10585";"ABORDAGEM DOS PRIMEIROS SOCORROS NA ESCOLA: CRIANÇAS, ADOLESCENTES E PROFESSORES APRENDENDO A SALVAR VIDAS";"SERV. PESSOA JURÍDICA";"R$           563,50";
